code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
mpm_Latn,0.0097,0.0012,0.0097
wbp_Latn,0.0,0.0,0.0
cjv_Latn,0.0,0.0,0.0
zpc_Latn,0.0097,0.0039,0.0097
gbi_Latn,0.0097,0.0012,0.0097
amu_Latn,0.0,0.0,0.0
swh_Latn,0.5922,0.2233,0.5922
daa_Latn,0.0097,0.0019,0.0097
kwf_Latn,0.0097,0.0004,0.0097
trq_Latn,0.0,0.0,0.0
neb_Latn,0.0,0.0,0.0
apr_Latn,0.0,0.0,0.0
tbo_Latn,0.0,0.0,0.0
lav_Latn,0.7767,0.3577,0.7767
sda_Latn,0.0194,0.0109,0.0194
mks_Latn,0.0,0.0,0.0
kaa_Latn,0.0485,0.0175,0.0485
nse_Latn,0.0194,0.0093,0.0194
ifb_Latn,0.0291,0.0097,0.0291
cav_Latn,0.0097,0.0023,0.0097
hop_Latn,0.0,0.0,0.0
oji_Latn,0.0291,0.0124,0.0291
zaa_Latn,0.0097,0.0078,0.0097
bao_Latn,0.0,0.0,0.0
bzi_Thai,0.0,0.0,0.0
mda_Latn,0.0,0.0,0.0
nyy_Latn,0.0097,0.0016,0.0097
pse_Latn,0.0777,0.0283,0.0777
ztq_Latn,0.0097,0.0023,0.0097
gur_Latn,0.0194,0.0019,0.0194
ike_Cans,0.0097,0.0004,0.0097
xpe_Latn,0.0097,0.0004,0.0097
ksw_Mymr,0.0,0.0,0.0
msy_Latn,0.0194,0.0027,0.0194
reg_Latn,0.0,0.0,0.0
sin_Sinh,0.4175,0.1472,0.4175
yka_Latn,0.0097,0.0019,0.0097
tlb_Latn,0.0097,0.0008,0.0097
mfi_Latn,0.0097,0.0004,0.0097
kjb_Latn,0.0097,0.0027,0.0097
nko_Latn,0.0097,0.007,0.0097
nhx_Latn,0.0097,0.0023,0.0097
nas_Latn,0.0097,0.0012,0.0097
fad_Latn,0.0,0.0,0.0
xho_Latn,0.0971,0.0299,0.0971
ceg_Latn,0.0,0.0,0.0
tsn_Latn,0.0194,0.0109,0.0194
kri_Latn,0.0097,0.0004,0.0097
qvs_Latn,0.0,0.0,0.0
dtp_Latn,0.0,0.0,0.0
trp_Latn,0.0,0.0,0.0
mrg_Latn,0.0097,0.0012,0.0097
uri_Latn,0.0,0.0,0.0
tke_Latn,0.0194,0.0019,0.0194
pps_Latn,0.0,0.0,0.0
smk_Latn,0.0097,0.0027,0.0097
mgw_Latn,0.0291,0.0078,0.0291
khk_Latn,0.0,0.0,0.0
bqp_Latn,0.0097,0.0016,0.0097
hus_Latn,0.0097,0.0027,0.0097
tnk_Latn,0.0097,0.0004,0.0097
ban_Latn,0.0485,0.019,0.0485
nif_Latn,0.0,0.0,0.0
nhy_Latn,0.0194,0.0101,0.0194
mua_Latn,0.0097,0.0019,0.0097
mfh_Latn,0.0,0.0,0.0
loz_Latn,0.0194,0.0109,0.0194
ben_Beng,0.4272,0.1748,0.4272
gdr_Latn,0.0097,0.0008,0.0097
tim_Latn,0.0097,0.0004,0.0097
xbr_Latn,0.0194,0.007,0.0194
mcf_Latn,0.0,0.0,0.0
vmy_Latn,0.0194,0.0078,0.0194
tso_Latn,0.0194,0.0023,0.0194
zom_Latn,0.0097,0.0012,0.0097
cux_Latn,0.0097,0.0008,0.0097
miz_Latn,0.0097,0.0023,0.0097
gnn_Latn,0.0,0.0,0.0
heb_Hebr,0.4466,0.1678,0.4466
lef_Latn,0.0097,0.0054,0.0097
moc_Latn,0.0097,0.0004,0.0097
mlt_Latn,0.0194,0.007,0.0194
nbe_Latn,0.0097,0.0008,0.0097
atb_Latn,0.0,0.0,0.0
ssx_Latn,0.0,0.0,0.0
hnn_Latn,0.0291,0.0105,0.0291
nki_Latn,0.0097,0.0019,0.0097
tos_Latn,0.0,0.0,0.0
lid_Latn,0.0097,0.0004,0.0097
mca_Latn,0.0,0.0,0.0
nng_Latn,0.0,0.0,0.0
bex_Latn,0.0097,0.0008,0.0097
dis_Latn,0.0097,0.0016,0.0097
bfo_Latn,0.0097,0.005,0.0097
pbb_Latn,0.0097,0.0008,0.0097
irk_Latn,0.0194,0.0016,0.0194
aau_Latn,0.0,0.0,0.0
crh_Cyrl,0.0777,0.0214,0.0777
mkd_Cyrl,0.7573,0.3779,0.7573
teo_Latn,0.0194,0.0039,0.0194
kpf_Latn,0.0194,0.0097,0.0194
bku_Latn,0.0194,0.0035,0.0194
cap_Latn,0.0,0.0,0.0
lww_Latn,0.0,0.0,0.0
enl_Latn,0.0,0.0,0.0
yut_Latn,0.0,0.0,0.0
hla_Latn,0.0097,0.0023,0.0097
wiv_Latn,0.0388,0.0124,0.0388
quc_Latn,0.0,0.0,0.0
ium_Latn,0.0,0.0,0.0
kbp_Latn,0.0097,0.0008,0.0097
kdi_Latn,0.0097,0.0027,0.0097
gla_Latn,0.3495,0.125,0.3495
vut_Latn,0.0,0.0,0.0
apt_Latn,0.0097,0.0047,0.0097
gvc_Latn,0.0,0.0,0.0
aia_Latn,0.0097,0.0008,0.0097
sml_Latn,0.0,0.0,0.0
gej_Latn,0.0194,0.0101,0.0194
syc_Syrc,0.0,0.0,0.0
nia_Latn,0.0194,0.0039,0.0194
usp_Latn,0.0097,0.0066,0.0097
dje_Latn,0.0194,0.0117,0.0194
pbc_Latn,0.0097,0.0012,0.0097
