code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
btx_Latn,0.0583,0.0227,0.0583
mah_Latn,0.0388,0.0138,0.0388
fon_Latn,0.0291,0.0024,0.0291
djk_Latn,0.0777,0.0197,0.0777
cor_Latn,0.0971,0.0453,0.0971
hat_Latn,0.4272,0.1618,0.4272
che_Cyrl,0.0388,0.0085,0.0388
nnh_Latn,0.0,0.0,0.0
rup_Latn,0.068,0.0274,0.068
cle_Latn,0.0194,0.0056,0.0194
mpg_Latn,0.0291,0.0068,0.0291
mcn_Latn,0.0388,0.0124,0.0388
ots_Latn,0.0097,0.0029,0.0097
bsp_Latn,0.0097,0.0021,0.0097
zpi_Latn,0.0194,0.0088,0.0194
pdt_Latn,0.1262,0.0565,0.1262
dug_Latn,0.068,0.0241,0.068
zyb_Latn,0.0097,0.0003,0.0097
tam_Taml,0.1456,0.0482,0.1456
ngc_Latn,0.0291,0.0056,0.0291
tpp_Latn,0.0388,0.0088,0.0388
tsg_Latn,0.0485,0.0115,0.0485
tha_Thai,0.2913,0.1068,0.2913
lsi_Latn,0.0097,0.0024,0.0097
fub_Latn,0.068,0.0253,0.068
kat_Geor,0.6408,0.3451,0.6408
dah_Latn,0.0097,0.0006,0.0097
taq_Latn,0.0194,0.0026,0.0194
tbf_Latn,0.0291,0.0115,0.0291
acr_Latn,0.0388,0.0112,0.0388
qul_Latn,0.1165,0.035,0.1165
ifk_Latn,0.0291,0.0103,0.0291
nin_Latn,0.0291,0.0097,0.0291
kmm_Latn,0.0194,0.0026,0.0194
hak_Hani,0.6408,0.3398,0.6408
maf_Latn,0.0388,0.0138,0.0388
bdh_Latn,0.0097,0.0024,0.0097
ura_Latn,0.0194,0.0032,0.0194
gvl_Latn,0.0194,0.0068,0.0194
azg_Latn,0.0194,0.0076,0.0194
nog_Cyrl,0.2524,0.0827,0.2524
muh_Latn,0.0194,0.0071,0.0194
zca_Latn,0.0291,0.0085,0.0291
kyc_Latn,0.0097,0.0018,0.0097
ell_Grek,0.9029,0.4928,0.9029
tlj_Latn,0.0291,0.0062,0.0291
cmo_Khmr,0.0097,0.0003,0.0097
mco_Latn,0.0097,0.0029,0.0097
hau_Latn,0.1845,0.068,0.1845
boj_Latn,0.0097,0.0047,0.0097
gng_Latn,0.0194,0.0071,0.0194
sco_Latn,0.3981,0.2098,0.3981
jid_Latn,0.0194,0.0082,0.0194
fal_Latn,0.0388,0.0135,0.0388
nbl_Latn,0.1845,0.0797,0.1845
bis_Latn,0.2718,0.0986,0.2718
srn_Latn,0.2039,0.0756,0.2039
enb_Latn,0.0097,0.0018,0.0097
yuz_Latn,0.0388,0.0156,0.0388
cbi_Latn,0.0194,0.0074,0.0194
bhl_Latn,0.0097,0.0006,0.0097
rkb_Latn,0.0097,0.0003,0.0097
nsm_Latn,0.0291,0.0071,0.0291
qvz_Latn,0.0485,0.0135,0.0485
sag_Latn,0.068,0.0235,0.068
rnl_Latn,0.0194,0.005,0.0194
tbg_Latn,0.0097,0.0009,0.0097
mhl_Latn,0.0291,0.0065,0.0291
kgp_Latn,0.0097,0.0024,0.0097
bmb_Latn,0.0388,0.0135,0.0388
apz_Latn,0.0097,0.0018,0.0097
pio_Latn,0.0583,0.01,0.0583
kqy_Ethi,0.0097,0.0015,0.0097
cnl_Latn,0.0194,0.0035,0.0194
mqy_Latn,0.0291,0.0109,0.0291
guz_Latn,0.0291,0.0094,0.0291
lhu_Latn,0.0097,0.0006,0.0097
zty_Latn,0.0194,0.005,0.0194
zai_Latn,0.0388,0.0162,0.0388
gnd_Latn,0.0194,0.0032,0.0194
suz_Deva,0.0194,0.0012,0.0194
ons_Latn,0.0194,0.0032,0.0194
suk_Latn,0.0388,0.0124,0.0388
kue_Latn,0.0194,0.0035,0.0194
tvk_Latn,0.0097,0.0032,0.0097
fao_Latn,0.767,0.4219,0.767
csk_Latn,0.0194,0.0047,0.0194
tab_Cyrl,0.0194,0.0032,0.0194
due_Latn,0.0485,0.0182,0.0485
meu_Latn,0.0291,0.0124,0.0291
bcl_Latn,0.3204,0.1183,0.3204
ese_Latn,0.0097,0.0026,0.0097
kog_Latn,0.0097,0.0012,0.0097
otq_Latn,0.0097,0.0009,0.0097
buk_Latn,0.0097,0.0032,0.0097
mad_Latn,0.0388,0.0162,0.0388
izr_Latn,0.0291,0.0071,0.0291
mbs_Latn,0.0291,0.0109,0.0291
kmo_Latn,0.0194,0.0024,0.0194
btt_Latn,0.0097,0.0024,0.0097
gag_Cyrl,0.1942,0.0753,0.1942
aze_Latn,0.6893,0.3345,0.6893
ayr_Latn,0.0388,0.0088,0.0388
gvn_Latn,0.0388,0.0141,0.0388
nou_Latn,0.0194,0.0056,0.0194
zaj_Latn,0.0583,0.0144,0.0583
mwc_Latn,0.0194,0.0065,0.0194
kha_Latn,0.0194,0.0059,0.0194
tna_Latn,0.0388,0.0091,0.0388
hvn_Latn,0.0291,0.0103,0.0291
nsn_Latn,0.0097,0.0044,0.0097
crt_Latn,0.0194,0.0056,0.0194
urd_Arab,0.6311,0.261,0.6311
npy_Latn,0.0388,0.0129,0.0388
sbs_Latn,0.0388,0.0106,0.0388
