code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
ruf_Latn,0.0388,0.0162,0.0388
gum_Latn,0.0388,0.0082,0.0388
xsm_Latn,0.0097,0.0021,0.0097
urw_Latn,0.0485,0.0106,0.0485
noa_Latn,0.0291,0.0076,0.0291
nyf_Latn,0.0583,0.0171,0.0583
rai_Latn,0.0485,0.0156,0.0485
njo_Latn,0.0291,0.0088,0.0291
mww_Latn,0.0388,0.005,0.0388
viv_Latn,0.0194,0.0035,0.0194
auc_Latn,0.0,0.0,0.0
avt_Latn,0.0194,0.0044,0.0194
qvm_Latn,0.0388,0.0129,0.0388
mnb_Latn,0.0388,0.0162,0.0388
xla_Latn,0.0097,0.0035,0.0097
quz_Latn,0.0485,0.0144,0.0485
acd_Latn,0.0194,0.0044,0.0194
lai_Latn,0.0388,0.0159,0.0388
mkl_Latn,0.0194,0.0024,0.0194
trn_Latn,0.0291,0.0074,0.0291
bmu_Latn,0.0291,0.0047,0.0291
tca_Latn,0.0097,0.0035,0.0097
ntr_Latn,0.0194,0.0065,0.0194
kaa_Cyrl,0.2524,0.0721,0.2524
yal_Latn,0.0291,0.0097,0.0291
yre_Latn,0.0194,0.0018,0.0194
nbu_Latn,0.0194,0.0088,0.0194
cco_Latn,0.0291,0.0062,0.0291
tuf_Latn,0.0194,0.0079,0.0194
ksf_Latn,0.0097,0.0015,0.0097
adl_Latn,0.0291,0.0097,0.0291
gkp_Latn,0.0097,0.0012,0.0097
mos_Latn,0.0485,0.0106,0.0485
zpq_Latn,0.0388,0.0085,0.0388
cym_Latn,0.4175,0.1477,0.4175
kjs_Latn,0.0291,0.0062,0.0291
grt_Beng,0.0291,0.0047,0.0291
uvh_Latn,0.0291,0.0056,0.0291
nhi_Latn,0.0485,0.0179,0.0485
gqr_Latn,0.0194,0.0041,0.0194
pab_Latn,0.0291,0.0112,0.0291
nnp_Latn,0.0194,0.0044,0.0194
beo_Latn,0.0194,0.0021,0.0194
qxn_Latn,0.0388,0.0118,0.0388
prk_Latn,0.0291,0.0091,0.0291
sld_Latn,0.0194,0.0024,0.0194
tku_Latn,0.0291,0.0074,0.0291
mbi_Latn,0.0291,0.0053,0.0291
xsr_Deva,0.0388,0.0047,0.0388
guc_Latn,0.0388,0.0106,0.0388
mrw_Latn,0.0485,0.0124,0.0485
ilo_Latn,0.1845,0.0656,0.1845
shu_Latn,0.1165,0.0385,0.1165
xed_Latn,0.0194,0.0068,0.0194
ldi_Latn,0.0388,0.0138,0.0388
crn_Latn,0.0194,0.0038,0.0194
nst_Latn,0.0194,0.0053,0.0194
qvc_Latn,0.0194,0.0056,0.0194
dww_Latn,0.0388,0.0071,0.0388
tgp_Latn,0.0485,0.0209,0.0485
ncj_Latn,0.0485,0.0153,0.0485
dgi_Latn,0.0291,0.0041,0.0291
cag_Latn,0.0291,0.0132,0.0291
stn_Latn,0.0291,0.0076,0.0291
hix_Latn,0.0,0.0,0.0
glv_Latn,0.1359,0.0374,0.1359
iws_Latn,0.0097,0.0015,0.0097
mor_Latn,0.0097,0.0006,0.0097
