code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
nlg_Latn,0.1359,0.0276,0.1359
dks_Latn,0.2039,0.0396,0.2039
nop_Latn,0.0388,0.0082,0.0388
maa_Latn,0.0874,0.0164,0.0874
aii_Syrc,0.0,0.0,0.0
jvn_Latn,0.7573,0.1628,0.7573
nno_Latn,0.9417,0.3122,0.9417
waj_Latn,0.0388,0.0045,0.0388
dob_Latn,0.0194,0.0067,0.0194
imo_Latn,0.0388,0.0037,0.0388
bci_Latn,0.0971,0.0164,0.0971
agd_Latn,0.0291,0.003,0.0291
biu_Latn,0.2233,0.0396,0.2233
pmx_Latn,0.0583,0.0105,0.0583
ssw_Latn,0.8155,0.1949,0.8155
prs_Arab,0.9417,0.3839,0.9417
myk_Latn,0.0777,0.0112,0.0777
nds_Latn,0.2718,0.0471,0.2718
sun_Latn,0.835,0.2001,0.835
ots_Latn,0.0388,0.0105,0.0388
mcn_Latn,0.0874,0.0157,0.0874
djk_Latn,0.0485,0.0082,0.0485
nnh_Latn,0.0194,0.0022,0.0194
hat_Latn,0.8641,0.2046,0.8641
che_Cyrl,0.0097,0.0015,0.0097
cor_Latn,0.2039,0.0373,0.2039
cle_Latn,0.0485,0.0045,0.0485
rup_Latn,0.1456,0.0254,0.1456
mpg_Latn,0.0485,0.0097,0.0485
pdt_Latn,0.3107,0.053,0.3107
bsp_Latn,0.0485,0.0067,0.0485
zpi_Latn,0.0583,0.0105,0.0583
dug_Latn,0.4757,0.0851,0.4757
zyb_Latn,0.0097,0.0007,0.0097
tpp_Latn,0.068,0.009,0.068
ngc_Latn,0.1262,0.0299,0.1262
lsi_Latn,0.0291,0.0052,0.0291
tha_Thai,0.9806,0.2069,0.9806
tsg_Latn,0.2136,0.0291,0.2136
tam_Taml,0.9612,0.2972,0.9612
taq_Latn,0.068,0.0082,0.068
acr_Latn,0.0485,0.006,0.0485
tbf_Latn,0.0388,0.0127,0.0388
fub_Latn,0.6699,0.1329,0.6699
kat_Geor,0.9806,0.404,0.9806
dah_Latn,0.0485,0.0052,0.0485
ifk_Latn,0.1359,0.0299,0.1359
qul_Latn,0.6505,0.109,0.6505
nin_Latn,0.0291,0.0097,0.0291
bdh_Latn,0.0194,0.0022,0.0194
ura_Latn,0.0097,0.0015,0.0097
gvl_Latn,0.0874,0.0097,0.0874
azg_Latn,0.0291,0.0112,0.0291
kmm_Latn,0.1262,0.0202,0.1262
hak_Hani,0.8835,0.2315,0.8835
maf_Latn,0.0971,0.0179,0.0971
ell_Grek,0.9903,0.5056,0.9903
tlj_Latn,0.3689,0.0463,0.3689
nog_Cyrl,0.7767,0.1785,0.7767
muh_Latn,0.0388,0.0037,0.0388
zca_Latn,0.0388,0.0067,0.0388
kyc_Latn,0.0194,0.0045,0.0194
hau_Latn,0.9223,0.2898,0.9223
mco_Latn,0.0485,0.0045,0.0485
cmo_Khmr,0.0,0.0,0.0
gng_Latn,0.068,0.0112,0.068
boj_Latn,0.0485,0.0075,0.0485
nbl_Latn,0.8835,0.2293,0.8835
bis_Latn,0.233,0.0321,0.233
sco_Latn,0.5049,0.1068,0.5049
jid_Latn,0.068,0.0164,0.068
fal_Latn,0.0777,0.0239,0.0777
nsm_Latn,0.068,0.0127,0.068
rkb_Latn,0.0097,0.0007,0.0097
sag_Latn,0.699,0.1262,0.699
qvz_Latn,0.2233,0.0291,0.2233
srn_Latn,0.1262,0.0314,0.1262
enb_Latn,0.0291,0.0037,0.0291
cbi_Latn,0.0485,0.0067,0.0485
yuz_Latn,0.0583,0.0149,0.0583
bhl_Latn,0.0291,0.0052,0.0291
bmb_Latn,0.4078,0.0672,0.4078
kqy_Ethi,0.0097,0.0007,0.0097
pio_Latn,0.068,0.0075,0.068
apz_Latn,0.0097,0.0007,0.0097
rnl_Latn,0.1456,0.0202,0.1456
tbg_Latn,0.0194,0.0022,0.0194
kgp_Latn,0.0291,0.0022,0.0291
mhl_Latn,0.0388,0.0097,0.0388
lhu_Latn,0.0097,0.0007,0.0097
zty_Latn,0.0291,0.003,0.0291
cnl_Latn,0.0194,0.003,0.0194
mqy_Latn,0.0874,0.0172,0.0874
guz_Latn,0.3495,0.0635,0.3495
zai_Latn,0.0971,0.0232,0.0971
ons_Latn,0.0583,0.0112,0.0583
kue_Latn,0.0874,0.0105,0.0874
suk_Latn,0.3107,0.0583,0.3107
gnd_Latn,0.0388,0.0082,0.0388
suz_Deva,0.0388,0.0045,0.0388
fao_Latn,0.9806,0.3495,0.9806
csk_Latn,0.0097,0.0015,0.0097
tab_Cyrl,0.0388,0.0045,0.0388
due_Latn,0.1068,0.0232,0.1068
tvk_Latn,0.0291,0.0037,0.0291
bcl_Latn,0.5534,0.121,0.5534
meu_Latn,0.0485,0.0149,0.0485
ese_Latn,0.0097,0.0015,0.0097
kog_Latn,0.0097,0.0007,0.0097
buk_Latn,0.0583,0.0067,0.0583
otq_Latn,0.0291,0.0045,0.0291
aze_Latn,0.9903,0.4167,0.9903
gvn_Latn,0.0971,0.0105,0.0971
nou_Latn,0.0583,0.0157,0.0583
ayr_Latn,0.4854,0.0732,0.4854
mad_Latn,0.1359,0.0344,0.1359
kmo_Latn,0.0291,0.0045,0.0291
btt_Latn,0.0291,0.0082,0.0291
