code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
kew_Latn,0.0388,0.0097,0.0388
srp_Cyrl,0.9709,0.4683,0.9709
ndz_Latn,0.0097,0.0037,0.0097
myb_Latn,0.0388,0.009,0.0388
hin_Latn,0.0291,0.003,0.0291
apu_Latn,0.0194,0.0015,0.0194
nfr_Latn,0.1068,0.0239,0.1068
kpv_Cyrl,0.068,0.0134,0.068
cta_Latn,0.0583,0.006,0.0583
kbq_Latn,0.0485,0.006,0.0485
qub_Latn,0.3204,0.0471,0.3204
afr_Latn,1.0,0.4937,1.0
crx_Latn,0.0777,0.0112,0.0777
xon_Latn,0.068,0.0127,0.068
caq_Latn,0.0291,0.0052,0.0291
enm_Latn,0.8252,0.4332,0.8252
poy_Latn,0.2524,0.0478,0.2524
ife_Latn,0.0194,0.003,0.0194
chz_Latn,0.0583,0.0052,0.0583
cop_Copt,0.0,0.0,0.0
huu_Latn,0.0583,0.0067,0.0583
aln_Latn,1.0,0.4907,1.0
btx_Latn,0.3204,0.0672,0.3204
fon_Latn,0.8544,0.121,0.8544
mah_Latn,0.068,0.0232,0.068
wer_Latn,0.0485,0.0045,0.0485
aeb_Arab,0.1748,0.0232,0.1748
xsu_Latn,0.0,0.0,0.0
dhm_Latn,0.4078,0.062,0.4078
neb_Latn,0.0291,0.003,0.0291
trq_Latn,0.0485,0.009,0.0485
kwf_Latn,0.0485,0.0097,0.0485
daa_Latn,0.0485,0.0082,0.0485
swh_Latn,0.9806,0.3981,0.9806
apr_Latn,0.0194,0.0037,0.0194
tbo_Latn,0.0485,0.006,0.0485
sda_Latn,0.0874,0.0254,0.0874
mks_Latn,0.0485,0.009,0.0485
lav_Latn,0.9709,0.4122,0.9709
nse_Latn,0.6117,0.1187,0.6117
kaa_Latn,0.4563,0.0792,0.4563
ifb_Latn,0.1553,0.0254,0.1553
oji_Latn,0.0583,0.0217,0.0583
hop_Latn,0.068,0.0082,0.068
cav_Latn,0.0291,0.0105,0.0291
bao_Latn,0.0194,0.003,0.0194
bzi_Thai,0.0097,0.0007,0.0097
zaa_Latn,0.1262,0.0217,0.1262
nyy_Latn,0.068,0.0142,0.068
mda_Latn,0.0291,0.0037,0.0291
pse_Latn,0.4854,0.0963,0.4854
ztq_Latn,0.068,0.0134,0.068
xpe_Latn,0.0388,0.0067,0.0388
ike_Cans,0.0194,0.003,0.0194
gur_Latn,0.0777,0.0134,0.0777
ksw_Mymr,0.0,0.0,0.0
msy_Latn,0.0485,0.0067,0.0485
yka_Latn,0.068,0.009,0.068
sin_Sinh,1.0,0.3084,1.0
reg_Latn,0.2816,0.0485,0.2816
mfi_Latn,0.0777,0.0075,0.0777
tlb_Latn,0.0291,0.0119,0.0291
kjb_Latn,0.0291,0.0105,0.0291
nko_Latn,0.0777,0.0157,0.0777
nhx_Latn,0.1553,0.0194,0.1553
nas_Latn,0.0388,0.0037,0.0388
fad_Latn,0.0777,0.0075,0.0777
xho_Latn,0.932,0.2913,0.932
tsn_Latn,0.9709,0.2606,0.9709
ceg_Latn,0.0388,0.003,0.0388
kri_Latn,0.1068,0.0202,0.1068
qvs_Latn,0.3495,0.05,0.3495
dtp_Latn,0.0485,0.0052,0.0485
trp_Latn,0.0485,0.0097,0.0485
uri_Latn,0.0485,0.0045,0.0485
mrg_Latn,0.0194,0.003,0.0194
tke_Latn,0.1359,0.0276,0.1359
smk_Latn,0.2621,0.0441,0.2621
pps_Latn,0.0777,0.0097,0.0777
hus_Latn,0.0388,0.009,0.0388
bqp_Latn,0.0485,0.009,0.0485
khk_Latn,0.0485,0.0037,0.0485
mgw_Latn,0.2621,0.0508,0.2621
tnk_Latn,0.0388,0.009,0.0388
ban_Latn,0.6311,0.0956,0.6311
nif_Latn,0.0194,0.0037,0.0194
mua_Latn,0.1262,0.0209,0.1262
nhy_Latn,0.1068,0.0209,0.1068
mfh_Latn,0.0485,0.0105,0.0485
loz_Latn,0.4466,0.0807,0.4466
gdr_Latn,0.0583,0.0067,0.0583
ben_Beng,0.9903,0.348,0.9903
mcf_Latn,0.0,0.0,0.0
xbr_Latn,0.0388,0.0052,0.0388
tim_Latn,0.0291,0.0045,0.0291
vmy_Latn,0.0583,0.0134,0.0583
zom_Latn,0.165,0.0254,0.165
tso_Latn,0.9417,0.2069,0.9417
miz_Latn,0.0291,0.0067,0.0291
cux_Latn,0.0777,0.0082,0.0777
gnn_Latn,0.0,0.0,0.0
