code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
mam_Latn,0.0194,0.0118,0.0194
gle_Latn,0.068,0.0177,0.068
ctd_Latn,0.0291,0.0091,0.0291
rmq_Latn,0.0388,0.0177,0.0388
gor_Latn,0.0194,0.0094,0.0194
lat_Latn,0.8932,0.6119,0.8932
ven_Latn,0.0097,0.0062,0.0097
asg_Latn,0.0097,0.0012,0.0097
kwd_Latn,0.0194,0.0082,0.0194
bmh_Latn,0.0097,0.0006,0.0097
cbc_Latn,0.0291,0.0071,0.0291
myv_Cyrl,0.0194,0.0056,0.0194
dgz_Latn,0.0097,0.0009,0.0097
krj_Latn,0.068,0.0244,0.068
bkq_Latn,0.0194,0.0088,0.0194
cat_Latn,0.699,0.4039,0.699
tdt_Latn,0.0291,0.0171,0.0291
kac_Latn,0.0097,0.0018,0.0097
dts_Latn,0.0097,0.0041,0.0097
qug_Latn,0.0194,0.005,0.0194
lgm_Latn,0.0097,0.0009,0.0097
zad_Latn,0.0291,0.0074,0.0291
mwm_Latn,0.0291,0.0065,0.0291
cko_Latn,0.0291,0.0085,0.0291
bdd_Latn,0.0097,0.0076,0.0097
lbj_Tibt,0.0,0.0,0.0
bgs_Latn,0.0388,0.0109,0.0388
guw_Latn,0.0194,0.0082,0.0194
kma_Latn,0.0194,0.0059,0.0194
smo_Latn,0.0291,0.0103,0.0291
knv_Latn,0.0097,0.0024,0.0097
maj_Latn,0.0097,0.0015,0.0097
kdj_Latn,0.0097,0.0041,0.0097
cwt_Latn,0.0194,0.0091,0.0194
las_Latn,0.0097,0.0029,0.0097
nuy_Latn,0.0194,0.0062,0.0194
hil_Latn,0.1553,0.0377,0.1553
apw_Latn,0.0291,0.0041,0.0291
pib_Latn,0.0097,0.0021,0.0097
eka_Latn,0.0097,0.0035,0.0097
dad_Latn,0.0194,0.0068,0.0194
wol_Latn,0.0097,0.0024,0.0097
bkv_Latn,0.0097,0.0074,0.0097
gyr_Latn,0.0388,0.0132,0.0388
cas_Latn,0.0194,0.0044,0.0194
yuw_Latn,0.0,0.0,0.0
mmo_Latn,0.0,0.0,0.0
gil_Latn,0.0291,0.0068,0.0291
ium_Laoo,0.0097,0.0012,0.0097
mlp_Latn,0.0194,0.0021,0.0194
ghs_Latn,0.0097,0.0009,0.0097
qwh_Latn,0.0291,0.0138,0.0291
faa_Latn,0.0,0.0,0.0
mog_Latn,0.0291,0.0112,0.0291
deu_Latn,0.5631,0.263,0.5631
ksr_Latn,0.0097,0.0044,0.0097
nav_Latn,0.0097,0.0029,0.0097
hnj_Latn,0.0,0.0,0.0
tur_Latn,0.3786,0.1212,0.3786
mzw_Latn,0.0194,0.0091,0.0194
sue_Latn,0.0291,0.0062,0.0291
ceb_Latn,0.1359,0.0438,0.1359
mcb_Latn,0.0097,0.0047,0.0097
bvr_Latn,0.0291,0.0082,0.0291
esk_Latn,0.0194,0.0112,0.0194
ljp_Latn,0.0583,0.0185,0.0583
dip_Latn,0.0194,0.0029,0.0194
cjp_Latn,0.0291,0.0065,0.0291
top_Latn,0.0097,0.0024,0.0097
zsr_Latn,0.0194,0.0085,0.0194
gbo_Latn,0.0,0.0,0.0
ubr_Latn,0.0291,0.0118,0.0291
yim_Latn,0.0291,0.0091,0.0291
mak_Latn,0.0291,0.0115,0.0291
ebk_Latn,0.0291,0.0156,0.0291
bgr_Latn,0.0291,0.0088,0.0291
xuo_Latn,0.0194,0.0041,0.0194
gso_Latn,0.0291,0.0115,0.0291
heh_Latn,0.0194,0.0071,0.0194
mya_Mymr,0.0097,0.0006,0.0097
zae_Latn,0.0194,0.0091,0.0194
mwl_Latn,0.2621,0.1053,0.2621
aoz_Latn,0.0291,0.0156,0.0291
rar_Latn,0.0485,0.0109,0.0485
tnn_Latn,0.0097,0.0003,0.0097
huv_Latn,0.0097,0.0032,0.0097
mgr_Latn,0.0194,0.0097,0.0194
mmn_Latn,0.0194,0.0059,0.0194
kbr_Latn,0.0194,0.0024,0.0194
nsa_Latn,0.0194,0.0047,0.0194
hot_Latn,0.0097,0.0024,0.0097
yva_Latn,0.0194,0.0094,0.0194
car_Latn,0.0291,0.0103,0.0291
tqb_Latn,0.0,0.0,0.0
ktu_Latn,0.0194,0.005,0.0194
got_Latn,0.068,0.0188,0.068
tbk_Latn,0.0388,0.0112,0.0388
iri_Latn,0.0291,0.01,0.0291
eza_Latn,0.0194,0.0029,0.0194
kuj_Latn,0.0097,0.0041,0.0097
naw_Latn,0.0194,0.0024,0.0194
pne_Latn,0.0291,0.0082,0.0291
kss_Latn,0.0097,0.0029,0.0097
whk_Latn,0.0097,0.0012,0.0097
atg_Latn,0.0097,0.0009,0.0097
awa_Deva,0.0583,0.0135,0.0583
agn_Latn,0.0388,0.0177,0.0388
tem_Latn,0.0194,0.0094,0.0194
ary_Arab,0.0583,0.015,0.0583
eus_Latn,0.0485,0.0118,0.0485
tlf_Latn,0.0194,0.0015,0.0194
hay_Latn,0.0291,0.0112,0.0291
guj_Gujr,0.0097,0.0003,0.0097
bud_Latn,0.0291,0.0053,0.0291
tih_Latn,0.0194,0.0088,0.0194
dyo_Latn,0.0291,0.0106,0.0291
ife_Latn,0.0097,0.0015,0.0097
caq_Latn,0.0194,0.0021,0.0194
enm_Latn,0.767,0.4778,0.767
poy_Latn,0.0388,0.0097,0.0388
crx_Latn,0.0291,0.0082,0.0291
xon_Latn,0.0291,0.0106,0.0291
kbq_Latn,0.0,0.0,0.0
qub_Latn,0.0388,0.0127,0.0388
afr_Latn,0.5631,0.2501,0.5631
cta_Latn,0.0194,0.0038,0.0194
kpv_Cyrl,0.0194,0.0044,0.0194
apu_Latn,0.0097,0.0053,0.0097
hin_Latn,0.1456,0.0359,0.1456
nfr_Latn,0.0291,0.0121,0.0291
dhm_Latn,0.0194,0.0056,0.0194
wer_Latn,0.0097,0.0009,0.0097
