code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
stq_Latn,0.0874,0.0282,0.0874
mxt_Latn,0.0388,0.0097,0.0388
tav_Latn,0.0194,0.0012,0.0194
cth_Latn,0.0291,0.0112,0.0291
acu_Latn,0.0194,0.0074,0.0194
maa_Latn,0.0194,0.0103,0.0194
dks_Latn,0.0291,0.0029,0.0291
nop_Latn,0.0194,0.0065,0.0194
nlg_Latn,0.0291,0.0141,0.0291
nii_Latn,0.0097,0.0021,0.0097
zao_Latn,0.0194,0.0085,0.0194
jav_Latn,0.0291,0.0132,0.0291
shj_Latn,0.0097,0.0076,0.0097
som_Latn,0.0194,0.0076,0.0194
cot_Latn,0.0097,0.0006,0.0097
xrb_Latn,0.0097,0.0065,0.0097
ikw_Latn,0.0097,0.0009,0.0097
beq_Latn,0.0291,0.0079,0.0291
tzj_Latn,0.0291,0.0115,0.0291
ckt_Cyrl,0.0194,0.0038,0.0194
nhw_Latn,0.0194,0.0056,0.0194
bch_Latn,0.0291,0.0118,0.0291
ann_Latn,0.0097,0.0044,0.0097
meq_Latn,0.0291,0.0091,0.0291
kiz_Latn,0.0291,0.0118,0.0291
zpo_Latn,0.0194,0.0076,0.0194
jic_Latn,0.0194,0.0062,0.0194
rim_Latn,0.0194,0.0065,0.0194
crm_Cans,0.0097,0.0006,0.0097
cso_Latn,0.0194,0.0056,0.0194
leh_Latn,0.0291,0.0056,0.0291
gkn_Latn,0.0194,0.0029,0.0194
var_Latn,0.0097,0.0021,0.0097
spa_Latn,0.6796,0.3513,0.6796
blz_Latn,0.0291,0.0124,0.0291
kua_Latn,0.0291,0.0076,0.0291
bom_Latn,0.0194,0.0053,0.0194
mjc_Latn,0.0194,0.0088,0.0194
mit_Latn,0.0291,0.0088,0.0291
ckb_Arab,0.0291,0.0056,0.0291
taw_Latn,0.0097,0.0026,0.0097
nus_Latn,0.0097,0.0047,0.0097
ffm_Latn,0.0097,0.0009,0.0097
stp_Latn,0.0194,0.0038,0.0194
hif_Latn,0.1748,0.0362,0.1748
dan_Latn,0.7379,0.4169,0.7379
swg_Latn,0.301,0.0788,0.301
sri_Latn,0.0194,0.005,0.0194
uzb_Cyrl,0.0583,0.0129,0.0583
nct_Latn,0.0194,0.0079,0.0194
kqp_Latn,0.0097,0.0044,0.0097
sgw_Ethi,0.0097,0.0015,0.0097
kan_Latn,0.0194,0.0026,0.0194
shk_Latn,0.0194,0.0038,0.0194
chr_Latn,0.0097,0.0012,0.0097
mtp_Latn,0.0097,0.0018,0.0097
mri_Latn,0.1068,0.0232,0.1068
sme_Latn,0.0291,0.0082,0.0291
kmk_Latn,0.0291,0.0103,0.0291
vmy_Latn,0.0291,0.0141,0.0291
mcf_Latn,0.0097,0.0015,0.0097
xbr_Latn,0.0097,0.0009,0.0097
tim_Latn,0.0097,0.0015,0.0097
gdr_Latn,0.0097,0.0006,0.0097
ben_Beng,0.1748,0.0335,0.1748
loz_Latn,0.0388,0.0156,0.0388
mfh_Latn,0.0291,0.0074,0.0291
mua_Latn,0.0291,0.0091,0.0291
nhy_Latn,0.0291,0.0127,0.0291
hnn_Latn,0.0583,0.0127,0.0583
ssx_Latn,0.0,0.0,0.0
atb_Latn,0.0194,0.0038,0.0194
nbe_Latn,0.0194,0.0088,0.0194
mlt_Latn,0.0583,0.0209,0.0583
moc_Latn,0.0194,0.0053,0.0194
lef_Latn,0.0291,0.0071,0.0291
heb_Hebr,0.4175,0.1359,0.4175
gnn_Latn,0.0,0.0,0.0
miz_Latn,0.0097,0.0047,0.0097
cux_Latn,0.0097,0.0044,0.0097
zom_Latn,0.0291,0.0103,0.0291
tso_Latn,0.0291,0.0124,0.0291
trp_Latn,0.0291,0.0112,0.0291
dtp_Latn,0.0194,0.0035,0.0194
qvs_Latn,0.0194,0.0047,0.0194
kri_Latn,0.0583,0.0153,0.0583
nif_Latn,0.0097,0.0003,0.0097
ban_Latn,0.0291,0.0085,0.0291
tnk_Latn,0.0194,0.0044,0.0194
hus_Latn,0.0388,0.0129,0.0388
khk_Latn,0.0097,0.0059,0.0097
bqp_Latn,0.0194,0.0074,0.0194
mgw_Latn,0.0194,0.0079,0.0194
smk_Latn,0.0388,0.0112,0.0388
pps_Latn,0.0194,0.0062,0.0194
tke_Latn,0.0291,0.01,0.0291
uri_Latn,0.0,0.0,0.0
mrg_Latn,0.0097,0.0062,0.0097
nhx_Latn,0.0388,0.0127,0.0388
nko_Latn,0.0097,0.0038,0.0097
kjb_Latn,0.0291,0.0127,0.0291
mfi_Latn,0.0291,0.0115,0.0291
tlb_Latn,0.0194,0.0085,0.0194
sin_Sinh,0.0097,0.0015,0.0097
yka_Latn,0.0194,0.0059,0.0194
reg_Latn,0.0485,0.0132,0.0485
