code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
mau_Latn,0.0388,0.01,0.0388
mbb_Latn,0.0291,0.007,0.0291
kin_Latn,0.0291,0.0121,0.0291
amm_Latn,0.0,0.0,0.0
ton_Latn,0.0388,0.009,0.0388
mee_Latn,0.0388,0.0094,0.0388
dow_Latn,0.0388,0.0077,0.0388
rub_Latn,0.0194,0.003,0.0194
pah_Latn,0.0388,0.0047,0.0388
msb_Latn,0.1165,0.0388,0.1165
soy_Latn,0.0,0.0,0.0
esu_Latn,0.068,0.0167,0.068
tuk_Arab,0.0194,0.0033,0.0194
cub_Latn,0.0291,0.0064,0.0291
mjw_Latn,0.0388,0.0134,0.0388
kek_Latn,0.0485,0.0117,0.0485
tgk_Cyrl,0.0194,0.002,0.0194
ava_Cyrl,0.0194,0.002,0.0194
cce_Latn,0.0485,0.0141,0.0485
ter_Latn,0.0194,0.0054,0.0194
zyp_Latn,0.0291,0.0084,0.0291
hne_Deva,0.2233,0.0649,0.2233
aey_Latn,0.0388,0.0084,0.0388
qvi_Latn,0.0388,0.008,0.0388
mnf_Latn,0.0194,0.004,0.0194
sat_Latn,0.0388,0.0087,0.0388
kbm_Latn,0.0291,0.0114,0.0291
dgc_Latn,0.0583,0.0177,0.0583
ify_Latn,0.0583,0.0177,0.0583
poe_Latn,0.068,0.0144,0.068
enq_Latn,0.0194,0.005,0.0194
bmq_Latn,0.0485,0.0187,0.0485
ktj_Latn,0.0097,0.002,0.0097
ycn_Latn,0.0194,0.0077,0.0194
tac_Latn,0.0291,0.007,0.0291
lam_Latn,0.0097,0.001,0.0097
snf_Latn,0.0291,0.005,0.0291
for_Latn,0.0194,0.0033,0.0194
btd_Latn,0.068,0.0187,0.068
mbc_Latn,0.0291,0.006,0.0291
kjh_Cyrl,0.0583,0.008,0.0583
mqj_Latn,0.0291,0.0137,0.0291
gui_Latn,0.0388,0.0194,0.0388
xsi_Latn,0.0291,0.0037,0.0291
rus_Cyrl,0.932,0.5243,0.932
chf_Latn,0.0971,0.0238,0.0971
bbc_Latn,0.0583,0.0231,0.0583
bqj_Latn,0.0291,0.0141,0.0291
hui_Latn,0.0194,0.0067,0.0194
jac_Latn,0.0485,0.0117,0.0485
omw_Latn,0.0097,0.0007,0.0097
nde_Latn,0.0388,0.0137,0.0388
aak_Latn,0.0291,0.0023,0.0291
gnw_Latn,0.0388,0.0131,0.0388
