code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
rnl_Latn,0.0194,0.0037,0.0194
bmb_Latn,0.0291,0.0075,0.0291
pio_Latn,0.0,0.0,0.0
apz_Latn,0.0,0.0,0.0
kqy_Ethi,0.0,0.0,0.0
yuz_Latn,0.0097,0.0045,0.0097
cbi_Latn,0.0,0.0,0.0
bhl_Latn,0.0,0.0,0.0
srn_Latn,0.0388,0.0209,0.0388
enb_Latn,0.0,0.0,0.0
rkb_Latn,0.0,0.0,0.0
nsm_Latn,0.0194,0.0045,0.0194
qvz_Latn,0.0097,0.0022,0.0097
sag_Latn,0.0194,0.0082,0.0194
zai_Latn,0.0194,0.0052,0.0194
mqy_Latn,0.0194,0.0075,0.0194
guz_Latn,0.0291,0.0149,0.0291
cnl_Latn,0.0097,0.0007,0.0097
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0,0.0,0.0
mco_Latn,0.0,0.0,0.0
cmo_Khmr,0.0,0.0,0.0
hau_Latn,0.0874,0.0306,0.0874
kyc_Latn,0.0,0.0,0.0
nog_Cyrl,0.0194,0.0052,0.0194
muh_Latn,0.0,0.0,0.0
zca_Latn,0.0,0.0,0.0
tlj_Latn,0.0097,0.0007,0.0097
ell_Grek,0.6796,0.3204,0.6796
fal_Latn,0.0388,0.0246,0.0388
sco_Latn,0.0485,0.0373,0.0485
jid_Latn,0.0097,0.0007,0.0097
nbl_Latn,0.0388,0.0179,0.0388
bis_Latn,0.0097,0.0007,0.0097
boj_Latn,0.0,0.0,0.0
gng_Latn,0.0,0.0,0.0
qul_Latn,0.0097,0.0022,0.0097
ifk_Latn,0.0194,0.0142,0.0194
kat_Geor,0.4369,0.1807,0.4369
dah_Latn,0.0,0.0,0.0
fub_Latn,0.0194,0.003,0.0194
tbf_Latn,0.0097,0.0082,0.0097
acr_Latn,0.0,0.0,0.0
taq_Latn,0.0,0.0,0.0
hak_Hani,0.1942,0.0978,0.1942
maf_Latn,0.0194,0.0067,0.0194
kmm_Latn,0.0097,0.0037,0.0097
azg_Latn,0.0097,0.0067,0.0097
bdh_Latn,0.0,0.0,0.0
ura_Latn,0.0,0.0,0.0
gvl_Latn,0.0,0.0,0.0
nin_Latn,0.0097,0.0022,0.0097
zpi_Latn,0.0097,0.0052,0.0097
bsp_Latn,0.0,0.0,0.0
pdt_Latn,0.0388,0.0194,0.0388
cle_Latn,0.0,0.0,0.0
rup_Latn,0.0388,0.0075,0.0388
mpg_Latn,0.0097,0.0052,0.0097
djk_Latn,0.0097,0.0015,0.0097
cor_Latn,0.0388,0.0172,0.0388
nnh_Latn,0.0097,0.0007,0.0097
hat_Latn,0.0194,0.0105,0.0194
che_Cyrl,0.0097,0.0007,0.0097
mcn_Latn,0.0194,0.0082,0.0194
ots_Latn,0.0097,0.009,0.0097
tam_Taml,0.1359,0.053,0.1359
lsi_Latn,0.0,0.0,0.0
tsg_Latn,0.0097,0.0007,0.0097
tha_Thai,0.1553,0.0433,0.1553
ngc_Latn,0.0194,0.0119,0.0194
tpp_Latn,0.0097,0.0007,0.0097
zyb_Latn,0.0,0.0,0.0
dug_Latn,0.0291,0.0112,0.0291
not_Latn,0.0,0.0,0.0
urb_Latn,0.0,0.0,0.0
gux_Latn,0.0291,0.0112,0.0291
nlc_Latn,0.0,0.0,0.0
aim_Latn,0.0194,0.0097,0.0194
snw_Latn,0.0097,0.0082,0.0097
ajz_Latn,0.0097,0.0022,0.0097
nys_Latn,0.0194,0.0045,0.0194
nim_Latn,0.0097,0.0037,0.0097
bbr_Latn,0.0097,0.0052,0.0097
njz_Latn,0.0,0.0,0.0
npi_Deva,0.1845,0.0851,0.1845
twu_Latn,0.0194,0.0075,0.0194
cbk_Latn,0.1359,0.0732,0.1359
dgr_Latn,0.0,0.0,0.0
nso_Latn,0.0194,0.0082,0.0194
ivv_Latn,0.0291,0.0067,0.0291
kde_Latn,0.0097,0.0007,0.0097
tar_Latn,0.0,0.0,0.0
lbk_Latn,0.0194,0.0075,0.0194
rmy_Latn,0.0194,0.0097,0.0194
aso_Latn,0.0097,0.0015,0.0097
mxp_Latn,0.0097,0.0007,0.0097
kud_Latn,0.0097,0.0015,0.0097
arp_Latn,0.0194,0.0015,0.0194
ian_Latn,0.0,0.0,0.0
kez_Latn,0.0,0.0,0.0
tcz_Latn,0.0097,0.0082,0.0097
miq_Latn,0.0194,0.0119,0.0194
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.3204,0.1232,0.3204
lem_Latn,0.0,0.0,0.0
lus_Latn,0.0097,0.0007,0.0097
hmr_Latn,0.0097,0.0007,0.0097
kpj_Latn,0.0097,0.0037,0.0097
nhr_Latn,0.0,0.0,0.0
loq_Latn,0.0194,0.0052,0.0194
gaw_Latn,0.0,0.0,0.0
bss_Latn,0.0097,0.0007,0.0097
met_Latn,0.0097,0.003,0.0097
tlh_Latn,0.0485,0.0291,0.0485
tif_Latn,0.0,0.0,0.0
ake_Latn,0.0,0.0,0.0
tzo_Latn,0.0,0.0,0.0
zaj_Latn,0.0291,0.0112,0.0291
