code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
ell_Grek,0.9806,0.646,0.9806
zai_Latn,0.165,0.0426,0.165
mqy_Latn,0.1553,0.053,0.1553
guz_Latn,0.233,0.0635,0.233
cnl_Latn,0.068,0.0075,0.068
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0291,0.0045,0.0291
tbg_Latn,0.0,0.0,0.0
kgp_Latn,0.0388,0.0037,0.0388
mhl_Latn,0.0777,0.0164,0.0777
rnl_Latn,0.1068,0.0321,0.1068
bmb_Latn,0.2524,0.0739,0.2524
pio_Latn,0.1165,0.0119,0.1165
apz_Latn,0.0097,0.0007,0.0097
kqy_Ethi,0.0097,0.0007,0.0097
yuz_Latn,0.0777,0.0232,0.0777
cbi_Latn,0.1068,0.0119,0.1068
bhl_Latn,0.0388,0.003,0.0388
srn_Latn,0.301,0.0963,0.301
enb_Latn,0.0097,0.0037,0.0097
rkb_Latn,0.0097,0.0022,0.0097
nsm_Latn,0.1262,0.0284,0.1262
qvz_Latn,0.0291,0.0082,0.0291
sag_Latn,0.1359,0.0314,0.1359
tam_Taml,0.8835,0.4683,0.8835
lsi_Latn,0.0388,0.0037,0.0388
tha_Thai,0.9417,0.2995,0.9417
tsg_Latn,0.2427,0.0456,0.2427
ngc_Latn,0.0874,0.0418,0.0874
tpp_Latn,0.165,0.0209,0.165
zyb_Latn,0.0,0.0,0.0
dug_Latn,0.3592,0.1105,0.3592
zpi_Latn,0.0874,0.0224,0.0874
bsp_Latn,0.0971,0.0142,0.0971
pdt_Latn,0.4272,0.1576,0.4272
cle_Latn,0.1262,0.0119,0.1262
rup_Latn,0.3204,0.0941,0.3204
mpg_Latn,0.1359,0.0246,0.1359
djk_Latn,0.0874,0.0149,0.0874
cor_Latn,0.2913,0.0717,0.2913
nnh_Latn,0.0194,0.0045,0.0194
che_Cyrl,0.0291,0.0082,0.0291
hat_Latn,0.9709,0.6273,0.9709
mcn_Latn,0.1553,0.0336,0.1553
ots_Latn,0.1068,0.0149,0.1068
hak_Hani,0.8738,0.4511,0.8738
maf_Latn,0.1068,0.0306,0.1068
kmm_Latn,0.1068,0.0232,0.1068
azg_Latn,0.0874,0.0149,0.0874
ura_Latn,0.0291,0.0045,0.0291
bdh_Latn,0.0194,0.0052,0.0194
gvl_Latn,0.0874,0.0127,0.0874
nin_Latn,0.1068,0.0239,0.1068
qul_Latn,0.1553,0.0351,0.1553
ifk_Latn,0.1456,0.0411,0.1456
dah_Latn,0.0874,0.0112,0.0874
kat_Geor,1.0,0.6169,1.0
fub_Latn,0.1748,0.0515,0.1748
tbf_Latn,0.1068,0.0261,0.1068
acr_Latn,0.1165,0.0194,0.1165
taq_Latn,0.0388,0.006,0.0388
maa_Latn,0.1165,0.0202,0.1165
dks_Latn,0.0971,0.0246,0.0971
nop_Latn,0.0485,0.0164,0.0485
nlg_Latn,0.1456,0.0396,0.1456
nii_Latn,0.0291,0.0067,0.0291
zao_Latn,0.0874,0.0239,0.0874
jav_Latn,0.9417,0.5512,0.9417
shj_Latn,0.068,0.0194,0.068
tgo_Latn,0.0971,0.0261,0.0971
kao_Latn,0.0971,0.0232,0.0971
crq_Latn,0.0583,0.009,0.0583
cax_Latn,0.1068,0.0202,0.1068
yrk_Cyrl,0.0971,0.0202,0.0971
plg_Latn,0.0874,0.009,0.0874
ncu_Latn,0.0485,0.0052,0.0485
hig_Latn,0.0388,0.0052,0.0388
stq_Latn,0.5243,0.1606,0.5243
mxt_Latn,0.068,0.0119,0.068
tav_Latn,0.0777,0.0075,0.0777
acu_Latn,0.0971,0.0149,0.0971
cth_Latn,0.0777,0.0239,0.0777
sun_Latn,0.7864,0.4078,0.7864
myk_Latn,0.1165,0.0142,0.1165
nds_Latn,0.3981,0.1262,0.3981
prs_Arab,0.9612,0.6169,0.9612
ssw_Latn,0.7961,0.3473,0.7961
biu_Latn,0.0874,0.0254,0.0874
pmx_Latn,0.0971,0.0232,0.0971
agd_Latn,0.0388,0.0045,0.0388
bci_Latn,0.1262,0.0276,0.1262
imo_Latn,0.068,0.006,0.068
dob_Latn,0.0291,0.0097,0.0291
waj_Latn,0.0194,0.0015,0.0194
nno_Latn,0.9417,0.578,0.9417
jvn_Latn,0.7767,0.3839,0.7767
aii_Syrc,0.0194,0.003,0.0194
shk_Latn,0.0583,0.0112,0.0583
chr_Latn,0.0097,0.0045,0.0097
mtp_Latn,0.0194,0.0015,0.0194
mri_Latn,0.9903,0.6542,0.9903
sme_Latn,0.1456,0.0373,0.1456
kmk_Latn,0.165,0.0493,0.165
ckb_Arab,0.0971,0.0463,0.0971
taw_Latn,0.0388,0.0082,0.0388
nus_Latn,0.0291,0.0045,0.0291
ffm_Latn,0.0874,0.0358,0.0874
stp_Latn,0.0194,0.0015,0.0194
hif_Latn,0.1068,0.0209,0.1068
dan_Latn,0.9903,0.8043,0.9903
swg_Latn,0.8641,0.3996,0.8641
uzb_Cyrl,0.9417,0.4929,0.9417
sri_Latn,0.0971,0.0112,0.0971
nct_Latn,0.0971,0.0209,0.0971
kqp_Latn,0.0388,0.0149,0.0388
sgw_Ethi,0.0971,0.0269,0.0971
