code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
tat_Cyrl,0.9126,0.4376,0.9126
mlh_Latn,0.1068,0.0112,0.1068
amk_Latn,0.0388,0.0142,0.0388
bps_Latn,0.0874,0.0224,0.0874
toh_Latn,0.1942,0.0478,0.1942
cya_Latn,0.0777,0.0134,0.0777
way_Latn,0.0291,0.0045,0.0291
ium_Thai,0.0291,0.0022,0.0291
nhe_Latn,0.0388,0.0075,0.0388
mps_Latn,0.0583,0.0097,0.0583
cof_Latn,0.0583,0.0134,0.0583
gdn_Latn,0.0485,0.0037,0.0485
ixl_Latn,0.0388,0.006,0.0388
fil_Latn,0.9029,0.5534,0.9029
hun_Latn,1.0,0.6654,1.0
cha_Latn,0.1068,0.0284,0.1068
gun_Latn,0.1456,0.0321,0.1456
cmo_Latn,0.0485,0.006,0.0485
nob_Latn,0.9903,0.8013,0.9903
urt_Latn,0.0777,0.0127,0.0777
mas_Latn,0.1456,0.0418,0.1456
sna_Latn,0.9903,0.5922,0.9903
kno_Latn,0.0388,0.0052,0.0388
lzh_Hani,0.7379,0.2479,0.7379
mbd_Latn,0.0971,0.0119,0.0971
vun_Latn,0.2524,0.0515,0.2524
rmo_Latn,0.1262,0.0306,0.1262
mhx_Latn,0.0194,0.0022,0.0194
isn_Latn,0.165,0.0635,0.165
laj_Latn,0.0777,0.0388,0.0777
apn_Latn,0.0194,0.0045,0.0194
plu_Latn,0.0485,0.0119,0.0485
kqc_Latn,0.1262,0.0276,0.1262
mna_Latn,0.0485,0.0067,0.0485
sas_Latn,0.3398,0.0941,0.3398
qvn_Latn,0.0777,0.0194,0.0777
sbd_Latn,0.068,0.0149,0.068
quy_Latn,0.1359,0.0299,0.1359
dur_Latn,0.0583,0.0119,0.0583
tuk_Latn,0.932,0.4451,0.932
big_Latn,0.0194,0.0015,0.0194
hns_Latn,0.0971,0.0127,0.0971
myy_Latn,0.0874,0.0157,0.0874
ibo_Latn,0.9709,0.5176,0.9709
abx_Latn,0.3495,0.0829,0.3495
mig_Latn,0.165,0.0164,0.165
yaa_Latn,0.1068,0.0157,0.1068
prf_Latn,0.301,0.0971,0.301
kan_Knda,0.9612,0.4742,0.9612
mse_Latn,0.0777,0.0299,0.0777
dop_Latn,0.0583,0.0075,0.0583
nhd_Latn,0.1553,0.0366,0.1553
bpr_Latn,0.068,0.0179,0.068
sig_Latn,0.0583,0.0127,0.0583
log_Latn,0.0485,0.006,0.0485
toi_Latn,0.4951,0.2136,0.4951
kor_Hang,0.9903,0.6042,0.9903
gaa_Latn,0.2233,0.0456,0.2233
bmu_Latn,0.068,0.006,0.068
trn_Latn,0.0971,0.009,0.0971
lai_Latn,0.3398,0.1329,0.3398
mkl_Latn,0.0194,0.0045,0.0194
acd_Latn,0.0388,0.0067,0.0388
xla_Latn,0.0194,0.0045,0.0194
quz_Latn,0.1359,0.0239,0.1359
qvm_Latn,0.0777,0.0209,0.0777
mnb_Latn,0.1553,0.0351,0.1553
avt_Latn,0.1262,0.0164,0.1262
auc_Latn,0.0,0.0,0.0
viv_Latn,0.0291,0.0082,0.0291
njo_Latn,0.1165,0.0172,0.1165
mww_Latn,0.9126,0.463,0.9126
nyf_Latn,0.4369,0.1135,0.4369
rai_Latn,0.1262,0.0299,0.1262
xsm_Latn,0.0777,0.0082,0.0777
urw_Latn,0.0194,0.0067,0.0194
noa_Latn,0.0388,0.003,0.0388
gum_Latn,0.0971,0.0149,0.0971
ruf_Latn,0.2718,0.1105,0.2718
ote_Latn,0.0874,0.0112,0.0874
akp_Latn,0.1456,0.0306,0.1456
arb_Arab,0.9029,0.4003,0.9029
toj_Latn,0.0874,0.0134,0.0874
czt_Latn,0.0971,0.0179,0.0971
nhg_Latn,0.1553,0.0321,0.1553
awk_Latn,0.068,0.0112,0.068
agu_Latn,0.0485,0.006,0.0485
lex_Latn,0.0971,0.0179,0.0971
nre_Latn,0.1456,0.0224,0.1456
ngu_Latn,0.1456,0.0239,0.1456
mzm_Latn,0.0485,0.0075,0.0485
zos_Latn,0.1456,0.0187,0.1456
ong_Latn,0.068,0.0187,0.068
are_Latn,0.0971,0.0239,0.0971
lwo_Latn,0.0388,0.0045,0.0388
snd_Arab,0.9126,0.4705,0.9126
plw_Latn,0.1165,0.0261,0.1165
kbh_Latn,0.0777,0.0194,0.0777
npl_Latn,0.2427,0.0478,0.2427
ivb_Latn,0.1359,0.0232,0.1359
isl_Latn,0.9515,0.6677,0.9515
jmc_Latn,0.2233,0.0493,0.2233
ace_Latn,0.2233,0.0433,0.2233
kgf_Latn,0.0971,0.0149,0.0971
kto_Latn,0.0777,0.0179,0.0777
icr_Latn,0.2718,0.0597,0.2718
tro_Latn,0.0777,0.0179,0.0777
kyu_Mymr,0.0,0.0,0.0
gul_Latn,0.5243,0.1949,0.5243
mbf_Latn,0.9515,0.4518,0.9515
smt_Latn,0.1456,0.0209,0.1456
snc_Latn,0.1553,0.0254,0.1553
maq_Latn,0.0777,0.0097,0.0777
yon_Latn,0.0485,0.0119,0.0485
kkc_Latn,0.0097,0.0007,0.0097
mgh_Latn,0.1068,0.0299,0.1068
fin_Latn,0.9903,0.7035,0.9903
niy_Latn,0.0388,0.0052,0.0388
mta_Latn,0.068,0.0112,0.068
mwv_Latn,0.1456,0.0321,0.1456
njn_Latn,0.1359,0.0187,0.1359
wbm_Latn,0.068,0.0112,0.068
pdc_Latn,0.301,0.0911,0.301
kik_Latn,0.1553,0.0306,0.1553
amh_Latn,0.0,0.0,0.0
oss_Cyrl,0.1165,0.0179,0.1165
slk_Latn,0.9806,0.6438,0.9806
dyu_Latn,0.0777,0.0209,0.0777
kor_Latn,0.0097,0.0015,0.0097
coe_Latn,0.0485,0.0097,0.0485
pam_Latn,0.3786,0.1449,0.3786
dik_Latn,0.0485,0.0172,0.0485
mpp_Latn,0.0971,0.0157,0.0971
rug_Latn,0.0583,0.0075,0.0583
nmh_Latn,0.1359,0.0246,0.1359
mzl_Latn,0.1262,0.0097,0.1262
uzb_Latn,0.9806,0.5213,0.9806
kup_Latn,0.0485,0.0082,0.0485
ndc_Latn,0.9223,0.4974,0.9223
kvg_Latn,0.0291,0.0052,0.0291
ken_Latn,0.0291,0.0075,0.0291
mie_Latn,0.165,0.0217,0.165
ukr_Cyrl,0.9903,0.7035,0.9903
tew_Latn,0.1068,0.0142,0.1068
ssg_Latn,0.1165,0.0314,0.1165
lug_Latn,0.6214,0.1964,0.6214
tui_Latn,0.0583,0.0179,0.0583
spp_Latn,0.068,0.0105,0.068
