code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
ssg_Latn,0.0097,0.0013,0.0097
lug_Latn,0.0291,0.0055,0.0291
tui_Latn,0.0194,0.0008,0.0194
spp_Latn,0.0097,0.0013,0.0097
ukr_Cyrl,0.6019,0.2085,0.6019
tew_Latn,0.0097,0.0055,0.0097
ken_Latn,0.0097,0.0021,0.0097
mie_Latn,0.0194,0.0038,0.0194
mzl_Latn,0.0,0.0,0.0
kup_Latn,0.0097,0.0004,0.0097
uzb_Latn,0.1165,0.019,0.1165
ndc_Latn,0.0194,0.0068,0.0194
kvg_Latn,0.0097,0.0004,0.0097
avt_Latn,0.0194,0.003,0.0194
auc_Latn,0.0,0.0,0.0
xla_Latn,0.0,0.0,0.0
quz_Latn,0.0388,0.0076,0.0388
qvm_Latn,0.0194,0.0038,0.0194
mnb_Latn,0.0291,0.0093,0.0291
lai_Latn,0.0291,0.011,0.0291
mkl_Latn,0.0097,0.0013,0.0097
acd_Latn,0.0097,0.0004,0.0097
bmu_Latn,0.0,0.0,0.0
trn_Latn,0.0194,0.0038,0.0194
xsm_Latn,0.0,0.0,0.0
urw_Latn,0.0291,0.0059,0.0291
noa_Latn,0.0097,0.0004,0.0097
gum_Latn,0.0194,0.0025,0.0194
nyf_Latn,0.0097,0.0021,0.0097
rai_Latn,0.0194,0.0034,0.0194
viv_Latn,0.0194,0.0042,0.0194
njo_Latn,0.0097,0.0017,0.0097
mww_Latn,0.0874,0.016,0.0874
nhg_Latn,0.0388,0.0084,0.0388
arb_Arab,0.0583,0.0215,0.0583
toj_Latn,0.0097,0.0013,0.0097
czt_Latn,0.0097,0.0004,0.0097
ote_Latn,0.0097,0.0008,0.0097
akp_Latn,0.0194,0.0084,0.0194
ruf_Latn,0.0194,0.0089,0.0194
ngu_Latn,0.0388,0.011,0.0388
mzm_Latn,0.0,0.0,0.0
zos_Latn,0.0097,0.0013,0.0097
ong_Latn,0.0194,0.0055,0.0194
are_Latn,0.0388,0.0093,0.0388
agu_Latn,0.0194,0.0034,0.0194
lex_Latn,0.0194,0.0034,0.0194
nre_Latn,0.0097,0.0025,0.0097
awk_Latn,0.0097,0.0008,0.0097
sna_Latn,0.0388,0.0135,0.0388
mas_Latn,0.0583,0.0139,0.0583
kno_Latn,0.0,0.0,0.0
lzh_Hani,0.3495,0.1,0.3495
mbd_Latn,0.0097,0.0004,0.0097
gun_Latn,0.0291,0.0034,0.0291
cmo_Latn,0.0097,0.0008,0.0097
nob_Latn,0.9417,0.4968,0.9417
urt_Latn,0.0194,0.0038,0.0194
cha_Latn,0.0291,0.0055,0.0291
fil_Latn,0.2621,0.0785,0.2621
