code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
gun_Latn,0.0583,0.0244,0.0583
cmo_Latn,0.068,0.01,0.068
cha_Latn,0.0583,0.0286,0.0583
hun_Latn,0.8544,0.3983,0.8544
fil_Latn,0.5922,0.2577,0.5922
sbd_Latn,0.0291,0.0055,0.0291
quy_Latn,0.0777,0.0283,0.0777
sas_Latn,0.1359,0.0375,0.1359
mna_Latn,0.0194,0.0076,0.0194
qvn_Latn,0.0583,0.0223,0.0583
kqc_Latn,0.068,0.016,0.068
plu_Latn,0.0194,0.0084,0.0194
apn_Latn,0.0097,0.0008,0.0097
laj_Latn,0.0194,0.0102,0.0194
isn_Latn,0.0291,0.0157,0.0291
mhx_Latn,0.0388,0.0084,0.0388
vun_Latn,0.0194,0.0105,0.0194
rmo_Latn,0.0485,0.0202,0.0485
nhg_Latn,0.0583,0.0168,0.0583
czt_Latn,0.0583,0.016,0.0583
toj_Latn,0.068,0.0123,0.068
arb_Arab,0.8835,0.3925,0.8835
akp_Latn,0.068,0.0152,0.068
ote_Latn,0.0194,0.005,0.0194
ruf_Latn,0.0388,0.015,0.0388
are_Latn,0.0874,0.0262,0.0874
zos_Latn,0.0874,0.0157,0.0874
ong_Latn,0.0388,0.0142,0.0388
mzm_Latn,0.0194,0.0045,0.0194
ngu_Latn,0.068,0.0199,0.068
lex_Latn,0.0291,0.0163,0.0291
nre_Latn,0.0485,0.0194,0.0485
agu_Latn,0.0388,0.0142,0.0388
awk_Latn,0.0194,0.005,0.0194
auc_Latn,0.0,0.0,0.0
avt_Latn,0.0485,0.016,0.0485
qvm_Latn,0.0583,0.0207,0.0583
mnb_Latn,0.0874,0.0249,0.0874
quz_Latn,0.0874,0.0252,0.0874
xla_Latn,0.0194,0.0079,0.0194
acd_Latn,0.0388,0.0071,0.0388
mkl_Latn,0.0388,0.006,0.0388
lai_Latn,0.0388,0.0163,0.0388
trn_Latn,0.0485,0.0113,0.0485
bmu_Latn,0.0194,0.001,0.0194
gum_Latn,0.0388,0.0136,0.0388
noa_Latn,0.0388,0.0068,0.0388
xsm_Latn,0.0194,0.0045,0.0194
urw_Latn,0.0291,0.0047,0.0291
nyf_Latn,0.0583,0.0176,0.0583
rai_Latn,0.0777,0.0189,0.0777
mww_Latn,0.0097,0.0016,0.0097
njo_Latn,0.0388,0.016,0.0388
viv_Latn,0.0,0.0,0.0
rug_Latn,0.0291,0.0071,0.0291
nmh_Latn,0.0583,0.0136,0.0583
mpp_Latn,0.0291,0.0076,0.0291
dik_Latn,0.0194,0.0108,0.0194
coe_Latn,0.0291,0.0081,0.0291
pam_Latn,0.0971,0.031,0.0971
kor_Latn,0.0097,0.0003,0.0097
dyu_Latn,0.0388,0.0079,0.0388
slk_Latn,0.8835,0.4534,0.8835
oss_Cyrl,0.0485,0.0097,0.0485
amh_Latn,0.0097,0.001,0.0097
kik_Latn,0.0485,0.0118,0.0485
pdc_Latn,0.1359,0.0454,0.1359
wbm_Latn,0.0291,0.0068,0.0291
spp_Latn,0.0194,0.0034,0.0194
tui_Latn,0.0291,0.0134,0.0291
lug_Latn,0.0388,0.0087,0.0388
ssg_Latn,0.0388,0.0071,0.0388
tew_Latn,0.0874,0.0157,0.0874
ukr_Cyrl,0.9515,0.4744,0.9515
mie_Latn,0.068,0.0249,0.068
ken_Latn,0.0388,0.006,0.0388
kvg_Latn,0.0097,0.0047,0.0097
ndc_Latn,0.0388,0.0184,0.0388
kup_Latn,0.0097,0.0034,0.0097
uzb_Latn,0.3883,0.1144,0.3883
mzl_Latn,0.0874,0.0126,0.0874
kyu_Mymr,0.0,0.0,0.0
tro_Latn,0.0291,0.0045,0.0291
kto_Latn,0.0291,0.0108,0.0291
icr_Latn,0.2427,0.095,0.2427
kgf_Latn,0.0388,0.0108,0.0388
