code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
gom_Latn,Latn,48.39,49.33,0.3844,0.0468,4
gor_Latn,Latn,66.405,69.28,0.4076,0.0377,4
got_Latn,Latn,44.277,44.945,0.3906,0.0811,4
gqr_Latn,Latn,70.81,72.29,0.537,0.0188,4
grt_Beng,Beng,110.887,148.565,0.8398,0.0137,4
gso_Latn,Latn,62.272,64.135,0.509,0.0348,4
gub_Latn,Latn,92.52,87.22,0.4597,0.0034,4
guc_Latn,Latn,91.292,93.875,0.4239,0.0263,4
gud_Latn,Latn,89.643,93.795,0.6429,0.0086,4
gug_Latn,Latn,54.802,54.385,0.4517,0.0994,4
guh_Latn,Latn,109.99,113.41,0.3859,0.024,4
gui_Latn,Latn,64.477,66.265,0.4255,0.036,4
guj_Gujr,Gujr,107.567,174.205,0.9165,0.3655,4
guk_Ethi,Ethi,101.558,142.645,1.2617,0.0051,4
gul_Latn,Latn,45.675,43.31,0.329,0.2998,4
gum_Latn,Latn,66.983,68.655,0.4035,0.0274,4
gun_Latn,Latn,56.093,53.875,0.4419,0.048,4
guo_Latn,Latn,97.975,97.77,0.4616,0.0325,4
gup_Latn,Latn,76.403,80.495,0.3868,0.0405,4
guq_Latn,Latn,57.843,58.425,0.4307,0.0263,4
gur_Latn,Latn,65.362,65.765,0.4603,0.0331,4
guw_Latn,Latn,66.745,65.33,0.5165,0.0811,4
gux_Latn,Latn,47.78,48.61,0.3872,0.0291,4
guz_Latn,Latn,43.873,43.705,0.3788,0.0611,4
gvc_Latn,Latn,82.785,86.28,0.4469,0.0205,4
gvf_Latn,Latn,59.9,59.63,0.3615,0.0188,4
gvl_Latn,Latn,74.972,73.935,0.4633,0.0268,4
gvn_Latn,Latn,61.453,62.255,0.3635,0.0428,4
gvs_Latn,Latn,63.142,66.525,0.3823,0.016,4
gwi_Latn,Latn,84.565,84.76,0.5127,0.0331,4
gya_Latn,Latn,78.578,81.935,0.6401,0.0388,4
gyr_Latn,Latn,71.4,72.85,0.4539,0.0383,4
hae_Latn,Latn,56.5,58.5,0.385,0.0817,4
hag_Latn,Latn,52.323,51.465,0.4295,0.0251,4
hak_Hani,Hani,40.948,42.655,0.9103,0.4929,4
hak_Latn,Latn,71.235,68.18,0.5188,0.0074,4
hat_Latn,Latn,49.005,48.32,0.4062,0.2736,4
hau_Latn,Latn,43.992,46.085,0.378,0.2016,4
hay_Latn,Latn,43.853,44.985,0.3911,0.1131,4
hch_Latn,Latn,64.415,65.32,0.4365,0.0091,4
heb_Hebr,Hebr,48.192,61.375,0.5115,0.4911,4
heh_Latn,Latn,47.165,48.29,0.3823,0.056,4
hif_Latn,Latn,51.235,52.58,0.382,0.1371,4
hig_Latn,Latn,85.802,89.855,0.5031,0.0177,4
hil_Latn,Latn,49.653,51.035,0.3362,0.3558,4
hin_Deva,Deva,63.892,89.855,0.511,0.5385,4
hin_Latn,Latn,44.623,45.685,0.3547,0.1473,4
hix_Latn,Latn,118.912,115.255,0.4469,0.0023,4
hla_Latn,Latn,62.74,64.27,0.3652,0.0268,4
hlt_Latn,Latn,61.362,61.825,0.3896,0.0246,4
hmo_Latn,Latn,61.245,61.79,0.3795,0.0668,4
hmr_Latn,Latn,53.177,53.105,0.4104,0.0674,4
hne_Deva,Deva,70.795,87.46,0.5893,0.2433,4
hnj_Latn,Latn,67.963,66.325,0.4181,0.0771,4
hnn_Latn,Latn,52.538,54.445,0.3454,0.0891,4
hns_Latn,Latn,53.062,53.725,0.3709,0.044,4
hop_Latn,Latn,64.475,65.16,0.4601,0.028,4
hot_Latn,Latn,66.38,69.64,0.4786,0.0154,4
hra_Latn,Latn,47.035,47.07,0.4046,0.0617,4
hrv_Latn,Latn,34.935,38.32,0.3629,0.6396,4
hto_Latn,Latn,82.513,85.295,0.5148,0.024,4
hub_Latn,Latn,63.165,64.96,0.3771,0.0274,4
hui_Latn,Latn,61.865,64.91,0.36,0.0177,4
hun_Latn,Latn,45.282,50.085,0.3784,0.6602,4
hus_Latn,Latn,72.04,70.96,0.407,0.0337,4
huu_Latn,Latn,76.458,79.185,0.4837,0.0274,4
huv_Latn,Latn,66.475,65.95,0.4146,0.0337,4
hvn_Latn,Latn,63.44,63.92,0.3689,0.0377,4
hwc_Latn,Latn,42.203,39.285,0.3035,0.4831,4
hye_Armn,Armn,92.075,144.11,0.8143,0.4289,4
hye_Latn,Latn,61.508,62.305,0.5112,0.0137,4
ian_Latn,Latn,73.235,75.84,0.4606,0.0131,4
iba_Latn,Latn,47.237,50.615,0.34,0.1856,4
ibo_Latn,Latn,63.243,60.615,0.5108,0.1822,4
icr_Latn,Latn,49.487,47.245,0.37,0.1685,4
ifa_Latn,Latn,56.657,57.145,0.3699,0.04,4
ifb_Latn,Latn,55.575,55.83,0.3721,0.0457,4
ife_Latn,Latn,123.245,127.91,0.7376,0.0103,4
ifk_Latn,Latn,49.447,50.025,0.3534,0.0485,4
ifu_Latn,Latn,59.552,59.505,0.3697,0.0365,4
ify_Latn,Latn,56.915,56.48,0.3752,0.0445,4
ign_Latn,Latn,68.082,68.145,0.3977,0.0314,4
ike_Cans,Cans,97.51,167.2,1.1246,0.0051,4
ikk_Latn,Latn,71.445,68.83,0.5965,0.0714,4
ikw_Latn,Latn,56.598,55.585,0.4939,0.0308,4
ilo_Latn,Latn,48.46,49.37,0.3559,0.1616,4
imo_Latn,Latn,72.96,74.68,0.3579,0.016,4
inb_Latn,Latn,58.885,59.78,0.3739,0.0411,4
ind_Latn,Latn,38.955,44.15,0.2663,0.8178,4
iqw_Latn,Latn,70.09,70.8,0.4958,0.0285,4
iri_Latn,Latn,57.918,60.305,0.4489,0.0263,4
irk_Latn,Latn,59.885,59.67,0.4577,0.0314,4
iry_Latn,Latn,51.062,52.895,0.3486,0.0491,4
isd_Latn,Latn,63.242,63.985,0.3845,0.0434,4
isl_Latn,Latn,44.175,50.34,0.3884,0.494,4
isn_Latn,Latn,41.09,43.69,0.3746,0.0479,4
ita_Latn,Latn,33.685,35.05,0.2964,0.8698,4
itv_Latn,Latn,59.703,60.535,0.3478,0.0611,4
ium_Laoo,Laoo,164.935,232.12,1.0858,0.0057,4
ium_Latn,Latn,73.18,71.03,0.4451,0.0166,4
ium_Thai,Thai,96.202,100.805,0.6342,0.008,4
ivb_Latn,Latn,64.828,65.345,0.3739,0.0354,4
ivv_Latn,Latn,49.788,51.205,0.3503,0.0508,4
iws_Latn,Latn,119.26,126.83,0.576,0.0126,4
ixl_Latn,Latn,95.162,90.555,0.4593,0.02,4
