code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
uig_Latn,0.0291,0.0108,0.0291
iba_Latn,0.0485,0.0218,0.0485
sur_Latn,0.0194,0.0031,0.0194
ndo_Latn,0.0291,0.0097,0.0291
tue_Latn,0.0194,0.0026,0.0194
uli_Latn,0.0194,0.0047,0.0194
leu_Latn,0.0194,0.0039,0.0194
mop_Latn,0.0194,0.0097,0.0194
mmx_Latn,0.0194,0.006,0.0194
quw_Latn,0.0291,0.0076,0.0291
kum_Cyrl,0.0194,0.0058,0.0194
enx_Latn,0.0194,0.0052,0.0194
pol_Latn,0.6214,0.2978,0.6214
wib_Latn,0.0097,0.0013,0.0097
trc_Latn,0.0291,0.005,0.0291
hye_Latn,0.0097,0.0003,0.0097
mbj_Latn,0.0,0.0,0.0
bbj_Latn,0.0194,0.0092,0.0194
zas_Latn,0.0291,0.01,0.0291
njb_Latn,0.0097,0.0008,0.0097
rad_Latn,0.0194,0.0045,0.0194
bqc_Latn,0.0097,0.0013,0.0097
bus_Latn,0.0194,0.0024,0.0194
ahk_Latn,0.0097,0.0018,0.0097
hye_Armn,0.2039,0.0677,0.2039
pri_Latn,0.0194,0.0063,0.0194
qxl_Latn,0.0291,0.006,0.0291
soq_Latn,0.0097,0.005,0.0097
bvd_Latn,0.0194,0.0037,0.0194
bem_Latn,0.0388,0.0147,0.0388
ikk_Latn,0.0291,0.0058,0.0291
gwi_Latn,0.0194,0.0055,0.0194
dif_Latn,0.0291,0.0115,0.0291
khm_Khmr,0.0291,0.0031,0.0291
bsj_Latn,0.0097,0.0016,0.0097
tof_Latn,0.0097,0.0013,0.0097
pwg_Latn,0.0097,0.0018,0.0097
ame_Latn,0.0097,0.0037,0.0097
ptp_Latn,0.0097,0.0034,0.0097
nri_Latn,0.0291,0.0071,0.0291
ksd_Latn,0.0485,0.0168,0.0485
ign_Latn,0.0194,0.0039,0.0194
sus_Latn,0.0097,0.0005,0.0097
mza_Latn,0.0291,0.0063,0.0291
kvj_Latn,0.0097,0.0047,0.0097
yan_Latn,0.0291,0.0118,0.0291
mih_Latn,0.0194,0.0084,0.0194
yby_Latn,0.0097,0.0003,0.0097
ntp_Latn,0.0097,0.0016,0.0097
lcm_Latn,0.0291,0.0068,0.0291
tcc_Latn,0.0194,0.0052,0.0194
kgk_Latn,0.0194,0.0039,0.0194
ach_Latn,0.0194,0.0039,0.0194
ctu_Latn,0.0194,0.0066,0.0194
cbr_Latn,0.0194,0.0071,0.0194
hlt_Latn,0.0194,0.0037,0.0194
nch_Latn,0.0097,0.0045,0.0097
yua_Latn,0.0291,0.0113,0.0291
giz_Latn,0.0291,0.0113,0.0291
sbk_Latn,0.0291,0.0105,0.0291
qva_Latn,0.0194,0.0068,0.0194
bru_Latn,0.0097,0.0029,0.0097
aom_Latn,0.0291,0.0052,0.0291
alz_Latn,0.0291,0.0081,0.0291
khy_Latn,0.0194,0.0042,0.0194
zar_Latn,0.0291,0.0071,0.0291
cnw_Latn,0.0194,0.0039,0.0194
mqb_Latn,0.0097,0.0024,0.0097
snn_Latn,0.0291,0.0047,0.0291
sgb_Latn,0.0485,0.0126,0.0485
cwe_Latn,0.0291,0.0063,0.0291
pis_Latn,0.0388,0.0131,0.0388
old_Latn,0.0291,0.0097,0.0291
bhp_Latn,0.0291,0.011,0.0291
emi_Latn,0.0194,0.0058,0.0194
cbu_Latn,0.0097,0.0008,0.0097
cab_Latn,0.0194,0.0076,0.0194
dwr_Latn,0.0194,0.0047,0.0194
sbl_Latn,0.0194,0.0034,0.0194
shp_Latn,0.0194,0.011,0.0194
