code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
myy_Latn,0.0194,0.0031,0.0194
ibo_Latn,0.0097,0.0039,0.0097
mig_Latn,0.0194,0.0042,0.0194
abx_Latn,0.0194,0.005,0.0194
yaa_Latn,0.0194,0.0026,0.0194
dur_Latn,0.0,0.0,0.0
big_Latn,0.0,0.0,0.0
tuk_Latn,0.0388,0.0045,0.0388
hns_Latn,0.0194,0.0052,0.0194
kqc_Latn,0.0194,0.0008,0.0194
plu_Latn,0.0097,0.0013,0.0097
qvn_Latn,0.0194,0.0076,0.0194
sas_Latn,0.0291,0.0118,0.0291
mna_Latn,0.0097,0.001,0.0097
quy_Latn,0.0194,0.0052,0.0194
sbd_Latn,0.0,0.0,0.0
mhx_Latn,0.0097,0.0021,0.0097
rmo_Latn,0.0194,0.0079,0.0194
vun_Latn,0.0097,0.0016,0.0097
laj_Latn,0.0097,0.0024,0.0097
isn_Latn,0.0194,0.0058,0.0194
apn_Latn,0.0,0.0,0.0
cmo_Latn,0.0097,0.0008,0.0097
gun_Latn,0.0194,0.0089,0.0194
urt_Latn,0.0097,0.001,0.0097
nob_Latn,0.6117,0.276,0.6117
sna_Latn,0.0097,0.0013,0.0097
mas_Latn,0.0194,0.0094,0.0194
kno_Latn,0.0,0.0,0.0
mbd_Latn,0.0097,0.0021,0.0097
lzh_Hani,0.2039,0.0669,0.2039
hun_Latn,0.3689,0.1328,0.3689
fil_Latn,0.2621,0.0924,0.2621
cha_Latn,0.0291,0.0163,0.0291
enq_Latn,0.0,0.0,0.0
poe_Latn,0.0097,0.0052,0.0097
ify_Latn,0.0291,0.011,0.0291
dgc_Latn,0.0291,0.0094,0.0291
kbm_Latn,0.0194,0.0016,0.0194
mnf_Latn,0.0,0.0,0.0
sat_Latn,0.0,0.0,0.0
qvi_Latn,0.0097,0.0029,0.0097
aey_Latn,0.0097,0.0005,0.0097
lam_Latn,0.0097,0.001,0.0097
tac_Latn,0.0,0.0,0.0
ycn_Latn,0.0097,0.0031,0.0097
bmq_Latn,0.0097,0.0016,0.0097
ktj_Latn,0.0,0.0,0.0
xsi_Latn,0.0,0.0,0.0
gui_Latn,0.0194,0.005,0.0194
mqj_Latn,0.0194,0.0079,0.0194
kjh_Cyrl,0.0194,0.0045,0.0194
